Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Commercial Property with Backup Generator in Westlands Area,"Westlands Area, Westlands",,,,24/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Wheelchair Access']",/listings/commercial-property-for-sale-westlands-area-3605860,commercial-property,sale,"KSh 1,500,000,000"
Warehouse in Athi River,Athi River,,,,05/02/2024,[],/listings/warehouse-for-sale-athi-river-area-3605353,commercial-property,sale,"KSh 23,000,000"
Warehouse in Langata,Langata,,,,05/02/2024,[],/listings/warehouse-for-sale-langata-3604849,commercial-property,sale,"KSh 180,000,000"
Warehouse in Juja,Juja,,,,05/02/2024,[],/listings/warehouse-for-sale-juja-3604841,commercial-property,sale,"KSh 32,000,000"
Warehouse in Industrial Area,Industrial Area,,,,05/02/2024,[],/listings/warehouse-for-sale-industrial-area-3603910,commercial-property,sale,"KSh 85,000,000"
Furnished Commercial Property with Parking in Ngara,Ngara,,,,20/04/2024,"['Alarm', 'Balcony', 'CCTV', 'Furnished', 'Parking']",/listings/furnished-commercial-property-for-sale-ngara-3603400,commercial-property,sale,"KSh 250,000,000"
"Furnished 10,226.05 ft² Commercial Property with Parking at Meru-Nanyuki Road","Meru-Nanyuki Road, Meru",,,10226 ft²,01/07/2024,"['Balcony', 'Furnished', 'Garden', 'Parking', 'Wheelchair Access']",/listings/furnished-1022605-ft2-commercial-property-for-sale-meru-1-3602195,commercial-property,sale,"KSh 58,000,000"
"5,000 ft² Warehouse in Industrial Area",Industrial Area,,,5000 ft²,05/02/2024,[],/listings/5000-ft2-warehouse-for-sale-industrial-area-1-3599422,commercial-property,sale,"KSh 75,000,000"
0.5 ac Commercial Property with Parking at Un Crescent,"UN Crescent, Gigiri, Westlands",,,,01/07/2024,"['Garden', 'Parking']",/listings/05-ac-commercial-property-for-sale-gigiri-3-3597322,commercial-property,sale,"KSh 120,000,000"
0.08 ha Commercial Property at Outering Road,"Outering, Outering Road, Donholm",,,,22/05/2024,[],/listings/008-ha-commercial-property-for-sale-donholm-4-3596477,commercial-property,sale,"KSh 35,000,000"
